Ticker,Quantity
RPOWER.NS,248
IDEA.NS,126
NHPC.NS,237
SUZLON.NS,168
IRCON.NS,271
BANKINDIA.NS,222
IDFCFIRSTB.NS,238
YESBANK.NS,243
